2.2157;2.0268;3.9700;;
2.5352;1.8201;4.0800;;
3.4984;1.5949;4.0700;;
4.7694;2.7379;4.1700;;
6.1401;2.6112;4.5600;;
5.4581;3.3261;4.9100;;
5.0733;3.9423;5.4100;;
4.8279;3.4362;5.5600;;
4.6470;1.6720;4.8200;;
3.6499;2.0379;3.9900;;
3.4305;3.8764;3.8900;;
3.1653;4.4828;4.1700;;
4.1297;4.5154;4.7900;;
4.7606;4.2820;5.9800;;
4.4456;4.0156;5.9400;;
3.8654;5.7758;5.9200;;
4.3964;4.2136;6.5700;;
3.7155;5.2224;8.3300;;
3.3570;5.7356;8.9800;;
1.9592;5.2538;8.9400;;
0.8499;5.7321;8.5700;;
0.1147;5.6884;7.8800;;
0.1053;3.3340;6.7000;;
-1.8034;5.3801;5.5700;;
-0.0145;6.2618;3.8600;;
-0.2775;5.3684;4.5600;;
-0.3222;4.1350;5.4700;;
-0.8478;3.3765;4.7500;;
0.1001;6.3829;3.5400;;
1.5692;2.4688;4.3000;;
1.6571;3.8048;4.7400;;
2.4646;5.1867;5.1400;;
4.0301;4.7284;6.5400;;
4.2601;6.2286;7.8200;;
2.8082;7.8596;10.5600;;
2.8177;8.2023;10.0000;;
1.0571;7.8188;9.3200;;
0.3841;9.8590;11.2500;;
-1.5183;12.0976;12.0900;;
-2.8335;12.3116;9.3500;;
-4.9360;9.3799;6.3000;;
-5.0171;6.1294;5.4200;;
-4.2072;7.3198;6.1600;;
-3.6828;6.8292;5.4100;;
-2.2446;4.2175;4.8300;;
-2.2746;4.1228;5.2000;;
-2.5501;5.2656;5.2800;;
-2.5977;7.2735;4.8700;;
-2.2666;6.5972;4.6600;;
-1.1798;5.7364;5.1600;;
-0.3023;5.0114;5.8200;;
-1.1889;8.9765;6.5100;;
-1.7647;6.0885;6.7600;;
1.0829;7.5349;7.2800;;
1.0915;6.8534;8.1000;;
1.4734;8.6793;9.5800;;
0.7639;7.3460;10.0700;;
0.0311;10.0332;10.1800;;
-0.0571;8.8129;10.9500;;
-0.5495;8.2208;13.5800;;
-0.8829;8.5908;15.0500;;
-3.4946;9.0655;12.6900;;
-4.1760;9.5274;9.8400;;
-2.8583;11.5246;15.8500;;
-1.3456;10.3589;16.5700;;
-2.6677;7.7238;17.7800;;
-2.1434;7.3933;17.5800;;
-3.9656;7.7073;13.5900;;
-6.3756;5.7117;14.2300;;
-6.5698;4.9086;14.5100;;
